id,laboratory_id,active_principle_id,"created_at","updated_at","nombre",cod_minsa,"concentracion","forma_farmaceutica","forma_farmaceutica_simp","presentacion"
1,2,NULL,NULL,NULL,"A FOLIC",3,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
2,2,NULL,NULL,NULL,"ALOPURINOL",497,"100 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
3,2,NULL,NULL,NULL,"AMOXICILINA",674,"125 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
4,2,NULL,NULL,NULL,"AMOXICILINA",675,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
5,2,NULL,NULL,NULL,"BRIMODIN",1710,"100 mg","Granulos de Liberación Prolongada","GRANULOS","Caja Sobre x 1 g"
6,2,NULL,NULL,NULL,"CLOBETASOL",2768,"0.05%","Crema","CREMA","Tubo X 30 g"
8,2,NULL,NULL,NULL,"DEXAMETASONA",3500,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
9,2,NULL,NULL,NULL,"DEXTROMETORFANO BROMHIDRATO",3525,"15 mg/5 mL","Jarabe","SOLUCION","Frasco X 60 mL"
11,2,NULL,NULL,NULL,"DIAZEPAM",3596,"5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
12,2,NULL,NULL,NULL,"DIAZEPAM",3597,"10 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
13,2,NULL,NULL,NULL,"DICLOFENACO",3630,"50 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
14,2,NULL,NULL,NULL,"DICLOXACILINA",3662,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
15,2,NULL,NULL,NULL,"ERYTROM",4451,"125 mg/5 mL","Granulos para Suspensión Oral","GRANULOS","Frasco X 60 mL"
16,2,NULL,NULL,NULL,"ERYTROM",4452,"250 mg/5 mL","Granulos para Suspensión Oral","GRANULOS","Frasco X 60 mL"
17,2,NULL,NULL,NULL,"ERYTROM",4453,"500 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
18,2,NULL,NULL,NULL,"FERRI FOL 400",4809,"","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
19,2,NULL,NULL,NULL,"FLUCONAZOL",4986,"150 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
22,2,NULL,NULL,NULL,"GINOTHYL",5372,"90 mg","Ovulo","OVULO","Caja Envase Blister Ovulos"
23,2,NULL,NULL,NULL,"GYNOSTATIN",5552,"100000 UI","Ovulo","OVULO","Caja Envase Blister Ovulos"
24,2,NULL,NULL,NULL,"HALOPERIDOL",5571,"2 mg/mL","Solución Oral","SOLUCION","Frasco X 20 mL"
25,2,NULL,NULL,NULL,"HALOPERIDOL",5572,"5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
26,2,NULL,NULL,NULL,"HALOPERIDOL",5573,"10 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
27,2,NULL,NULL,NULL,"HIDROCLOROTIAZIDA",5673,"50 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
28,2,NULL,NULL,NULL,"INDOMETACINA",5958,"25 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
29,2,NULL,NULL,NULL,"ITRACONAZOL",6120,"100 mg","Cápsula","CAPSULA","Caja Envase Blister Tabletas"
30,2,NULL,NULL,NULL,"KETOCONAZOL",6369,"200 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
31,2,NULL,NULL,NULL,"KETOROLACO",6408,"10 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
32,2,NULL,NULL,NULL,"KLARIFOR",6431,"500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
33,2,NULL,NULL,NULL,"LIBERTIUM",6770,"2.5 mg/5 mL","Jarabe","SOLUCION","Frasco X 60 mL"
34,2,NULL,NULL,NULL,"LIBERTIUM",6771,"5 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
35,2,NULL,NULL,NULL,"LIBERTIUM",6772,"5 mg/mL","Solución Oral","SOLUCION","Frasco X 15 mL"
36,2,NULL,NULL,NULL,"MEBENDAZOL",7231,"100 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
37,2,NULL,NULL,NULL,"METOCLOPRAMIDA",7425,"10 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
38,2,NULL,NULL,NULL,"MUPIROCINA",7733,"2%","Ungüento","UNGUENTO","Tubo X 15 g"
39,2,NULL,NULL,NULL,"PARACETAMOL",8847,"120 mg/5 mL","Jarabe","SOLUCION","Frasco X 60 mL"
41,2,NULL,NULL,NULL,"PARACETAMOL",8849,"100 mg/mL","Solución Oral","SOLUCION","Frasco x 10 mL"
42,2,NULL,NULL,NULL,"PARACETAMOL",8850,"500 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
43,2,NULL,NULL,NULL,"PREDNISONA",9183,"5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
44,2,NULL,NULL,NULL,"PREDNISONA",9184,"20 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
45,2,NULL,NULL,NULL,"PREDNISONA",9185,"50 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
46,2,NULL,NULL,NULL,"RIFAMPICINA",9640,"100 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 60 mL"
47,2,NULL,NULL,NULL,"SALBUMAX",9800,"","Jarabe","SOLUCION","Frasco X 120 mL"
48,2,NULL,NULL,NULL,"SALBUTAMOL",9814,"4 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
49,2,NULL,NULL,NULL,"SEDAMAX",9880,"3 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
50,2,NULL,NULL,NULL,"TOSALBRON ADULTO",10831,"50 mg/5 mL","Jarabe","SOLUCION","Frasco X 100 mL"
51,2,NULL,NULL,NULL,"TOSALBRON INFANTIL",10832,"28 mg/5 mL","Jarabe","SOLUCION","Frasco X 100 mL"
52,2,NULL,NULL,NULL,"TRIAMCINOLONA",10903,"0.03%","Loción","LOCION","Frasco X 60 mL"
53,2,NULL,NULL,NULL,"TRIFLUOPERAZINA",10920,"5 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
54,2,NULL,NULL,NULL,"UNATHEN",11046,"375 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
55,2,NULL,NULL,NULL,"UNATHEN",11047,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco x 30 mL"
57,2,NULL,NULL,NULL,"ACICLOVIR",20065,"5%","Crema","CREMA","Tubo X 15 g"
58,2,NULL,NULL,NULL,"ACICLOVIR",20066,"200 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
60,2,NULL,NULL,NULL,"ACICLOVIR",20068,"400 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
62,2,NULL,NULL,NULL,"ALPRAZOLAM",20248,"0.25 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
63,2,NULL,NULL,NULL,"ALPRAZOLAM",20249,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
64,2,NULL,NULL,NULL,"AMITRIPTILINA",20304,"25 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
66,2,NULL,NULL,NULL,"ANTIHISTAMIN NF",20444,"2 mg/5 mL","Jarabe","SOLUCION","Frasco X 120 mL"
68,2,NULL,NULL,NULL,"ATENOLOL",20504,"100 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
70,2,NULL,NULL,NULL,"BROMOCRIPTINA",20765,"2.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
71,2,NULL,NULL,NULL,"CARBAMAZEPINA",20904,"200 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
72,2,NULL,NULL,NULL,"CARBATROL",20909,"100 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 100 mL"
73,2,NULL,NULL,NULL,"CARBATROL",20910,"200 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
75,2,NULL,NULL,NULL,"CEFACLOR",20960,"500 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
76,2,NULL,NULL,NULL,"CEFACLOR",20961,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 75 mL"
77,2,NULL,NULL,NULL,"CETIRIZINA",21066,"10 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
78,2,NULL,NULL,NULL,"CLONAZEPAM",21271,"2 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
79,2,NULL,NULL,NULL,"CLORFENAMINA MALEATO",21285,"2 mg/5 mL","Jarabe","SOLUCION","Frasco x 120 mL"
81,2,NULL,NULL,NULL,"CLORFENAMINA MALEATO",21287,"4 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
82,2,NULL,NULL,NULL,"CLORPROMAZINA",21306,"100 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
84,2,NULL,NULL,NULL,"DICLOXACILINA",21648,"250 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
86,2,NULL,NULL,NULL,"DOLOL FORTE",21777,"","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
88,2,NULL,NULL,NULL,"HALOPED",22566,"5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
91,2,NULL,NULL,NULL,"HIDROCLOROTIAZIDA",22618,"25 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
92,2,NULL,NULL,NULL,"HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO",22624,"400 mg + 400 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 120 mL"
94,2,NULL,NULL,NULL,"IBUPROFENO",22694,"400 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
96,2,NULL,NULL,NULL,"IBUPROFENO",22696,"600 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
97,2,NULL,NULL,NULL,"IBUPROFENO",22697,"800 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
102,2,NULL,NULL,NULL,"KLARIFOR",22931,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco x 50 mL"
103,2,NULL,NULL,NULL,"METRONIDAZOL",23460,"500 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
104,2,NULL,NULL,NULL,"NAPROXENO",23629,"275 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
105,2,NULL,NULL,NULL,"NAPROXENO",23630,"550 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
106,3,NULL,NULL,NULL,"AB AMBROMOX",4,"300 mg","Polvo para Suspensión Inyectable","INYECTABLE","Vial + Accesorios"
107,3,NULL,NULL,NULL,"AB AMBROMOX",5,"600 mg","Polvo para Solución Inyectable","INYECTABLE","Caja Vial"
